,χ-Strategy,60/40 Portfolio,70/30 Portfolio,100% Stocks,Risk Parity
Dot-com (2000-2002),7.071300098287403,-9.54226213793431,-15.303427731980756,-37.7398035791498,7.075645931718144
2008 Financial Crisis,19.61138830029401,-5.253104867062531,-14.526310046379344,-40.415627633973216,8.783549774316901
COVID-19 (2020),3.1416669914541284,10.41457139263493,11.866439346584778,14.139592461075834,5.888101790068068
2022 Bear Market,13.33380132709976,-11.571540677645531,-18.654053059413023,-42.96252844401794,2.8192446068209254
